"Name -- 2016v1_5","Diff Name -- 2016v1_4","Sequence Number -- 2016v1_5","Sequence Number -- 2016v1_4","Label -- 2016v1_5","Diff Label -- 2016v1_4","Type -- 2016v1_5","Diff Type -- 2016v1_4","Choice Name -- 2016v1_5","Diff Choice Name -- 2016v1_4","Choice Labels -- 2016v1_5","Diff Choice Labels -- 2016v1_4"
"id10169_c","[no match found]","188","","Enter how long (s)he had breathlessness in months:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10169",,"189","163","How long did (s)he have breathlessness?","FOR HOW MANY DAYS did (s)he have breathlessness?","calculate","INTEGER",,,,
"id10170",,"190","164","Was (s)he unable to carry out daily routines due to breathlessness?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10171",,"191","165","Was (s)he breathless while lying flat?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10172",,"192","166","Did you see the lower chest wall/ribs being pulled in as the child breathed in?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10173_nc","[no match found]","193","","During the illness that led to death did his/her breathing sound like any of the following:","[no match found]","select_multiple select_501","[no match found]","select_501","[no match found]","stridor; grunting; wheezing; no; doesn't know; refused to answer","[no match found]"
"id10173_check","[no match found]","194","","It is not possible to select 'Don't know' or 'refuse' together with other options. Please go back and correct the selection.","[no match found]","note","[no match found]",,"[no match found]",,"[no match found]"
"id10173_a","[no match found]","195","","During the illness that led to death did (s)he have wheezing?","[no match found]","select_multiple select_502","[no match found]","select_502","[no match found]","wheezing; no; doesn't know; refused to answer","[no match found]"
"id10173",,"196","167","During the illness that led to death did his/her breathing sound like any of the following:",,"calculate","SELECT_MULTIPLE SELECT_501",,,,
"id10174",,"197","168","Did (s)he have chest pain?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10175",,"198","169","Was the chest pain severe?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10176",,"199","170","How many days before death did (s)he have chest pain?",,"integer",,,,,
"paindur",,"200","171","Duration of the chest pain",,"begin group",,,,,
"id10178_unit","[no match found]","201","","How long did the chest pain last?","[no match found]","select_one M_H_D_DK","[no match found]","m_h_d_dk","[no match found]","minutes; hours; days; doesn't know; refused to answer","[no match found]"
"id10178",,"202","172","Enter how long the chest pain lasted in minutes:","HOW MANY MINUTES DID the pain LAST?","integer",,,,,
"id10179",,"203","173","Enter how long the chest pain lasted in hours:","HOW MANY HOURS DID the pain LAST?","integer",,,,,
"id10179_1","[no match found]","204","","Enter how long the chest pain lasted in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10181",,"205","174","Did (s)he have more frequent loose or liquid stools than usual?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10182_units","[no match found]","206","","How long did (s)he have frequent loose or liquid stools?","[no match found]","select_one units_2","[no match found]","units_2","[no match found]","days; months; doesn't know; refused to answer","[no match found]"
"id10182_a","[no match found]","207","","Enter how long (s)he had frequent loose or liquid stools in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10182_b","[no match found]","208","","Enter how long (s)he had frequent loose or liquid stools in months:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10182",,"209","175","For how many days did (s)he have frequent loose or liquid stools?",,"calculate","INTEGER",,,,
"id10183",,"210","176","How many stools did the baby or child have on the day that loose liquid stools were most frequent?",,"integer",,,,,
"id10184_a","[no match found]","211","","How many days before death did the frequent loose or liquid stools start?","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10184_units","[no match found]","212","","How long before death did the frequent loose or liquid stools start?","[no match found]","select_one units_2","[no match found]","units_2","[no match found]","days; months; doesn't know; refused to answer","[no match found]"
"id10184_b","[no match found]","213","","Enter how long before death the frequent loose or liquid stools started in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10184_c","[no match found]","214","","Enter how long before death the frequent loose or liquid stools started in months:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10185",,"215","178","Did the frequent loose or liquid stools continue until death?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10186",,"216","179","At any time during the final illness was there blood in the stools?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10187",,"217","180","Was there blood in the stool up until death?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10188",,"218","181","Did (s)he vomit?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10189",,"219","182","To clarify: Did (s)he vomit in the week preceding the death?","did (s)he vomit in the week preceding the death?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10190_units","[no match found]","220","","How long before death did (s)he vomit?","[no match found]","select_one units_2","[no match found]","units_2","[no match found]","days; months; doesn't know; refused to answer","[no match found]"
"id10190_a","[no match found]","221","","Enter how long before death(s)he vomited in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10190_b","[no match found]","222","","Enter how long before death(s)he vomited in months:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10191",,"223","184","Was there blood in the vomit?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10192",,"224","185","Was the vomit black?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10193",,"225","186","Did (s)he have any belly (abdominal) problem?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10194",,"226","187","Did (s)he have belly (abdominal) pain?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10195",,"227","188","Was the belly (abdominal) pain severe?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"abdominal_pain",,"228","189","Belly pain",,"begin group",,,,,
"id10196_unit","[no match found]","229","","For how long did (s)he have belly (abdominal) pain?","[no match found]","select_one H_D_M_DK","[no match found]","h_d_m_dk","[no match found]","hours; days; months; doesn't know; refused to answer","[no match found]"
"id10196",,"230","191","Enter how long (s)he had  belly (abdominal) pain in hours:","HOURS","integer",,,,,
"id10197_a","[no match found]","231","","Enter how long (s)he had  belly (abdominal) pain in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10198",,"232","194","Enter how long (s)he had  belly (abdominal) pain in months:","MONTHS","integer",,,,,
"id10197",,"233","192","Calculated number of Days with belly pain","days","calculate","INTEGER",,,,
"id10199",,"234","195","Was the pain in the upper or lower belly (abdomen)?",,"select_one select_100",,"select_100","select_ONE SELECT_100","upper abdomen; lower abdomen; upper and lower abdomen; doesn't know; refused to answer","[empty cell]"
"id10200",,"235","196","Did (s)he have a more than usually protruding belly (abdomen)?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10201_unit","[no match found]","236","","For how long before death did (s)he have a more than usually protruding belly (abdomen)?","[no match found]","select_one D_M_DK_REF","[no match found]","d_m_dk_ref","[no match found]","days; months; doesn't know; refused to answer","[no match found]"
"id10201_a","[no match found]","237","","Enter how long before death (s)he had a more than usually protruding belly (abdomen) in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10202",,"238","198","Enter how long before death (s)he had a more than usually protruding belly (abdomen) in months:","FOR how MANY MONTHS DID (s)he HAVE a more than usually protruding belly (ABDOMEN)?","integer",,,,,
"id10201",,"239","197","Calculated number of Days with protruding belly (abdomen)","FOR HOW MANY DAYS DID (S)HE HAVE A MORE THAN USUALLY protruding belly (ABDOMEN)?","calculate","INTEGER",,,,
"id10203",,"240","199","How rapidly did (s)he develop the protruding belly (abdomen)?",,"select_one select_103",,"select_103","select_ONE SELECT_103","rapidly; slowly; doesn't know; refused to answer","[empty cell]"
"id10204",,"241","200","Did (s)he have any mass in the belly (abdomen)?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10205_unit","[no match found]","242","","For how long did (s)he have a mass in the belly (abdomen)?","[no match found]","select_one D_M_DK_REF","[no match found]","d_m_dk_ref","[no match found]","days; months; doesn't know; refused to answer","[no match found]"
"id10205_a","[no match found]","243","","Enter how long (s)he had a mass in the belly (abdomen) in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10206",,"244","202","Enter how long (s)he had a mass in the belly (abdomen) in months:","FOR how MANY MONTHS BEFORE DEATH DID (s)he HAVE a mass in the belly (ABDOMEN)?","integer",,,,,
"id10205",,"245","201","Calculated number of Days with a mass in the belly (abdomen)","FOR HOW MANY DAYS BEFORE DEATH DID (S)HE HAVE a mass in the belly (ABDOMEN)?","calculate","INTEGER",,,,
"id10207",,"246","203","Did (s)he have a severe headache?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10208",,"247","204","Did (s)he have a stiff neck during illness that led to death?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10209_units","[no match found]","248","","How long before death did (s)he have stiff neck?","[no match found]","select_one units_2","[no match found]","units_2","[no match found]","days; months; doesn't know; refused to answer","[no match found]"
"id10209_a","[no match found]","249","","Enter how long before death did (s)he have stiff neck in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10209_b","[no match found]","250","","Enter how long before death did (s)he have stiff neck in months:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10209",,"251","205","For how many days before death did (s)he have stiff neck?",,"calculate","INTEGER",,,,
"id10210",,"252","206","Did (s)he have a painful neck during the illness that led to death?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10211_units","[no match found]","253","","How long before death did (s)he have a painful neck?","[no match found]","select_one units_2","[no match found]","units_2","[no match found]","days; months; doesn't know; refused to answer","[no match found]"
"id10211_a","[no match found]","254","","Enter how long before death (s)he had a painful neck in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10211_b","[no match found]","255","","Enter how long before death (s)he had a painful neck in months:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10211",,"256","207","For how many days before death did (s)he have a painful neck?",,"calculate","INTEGER",,,,
"id10212",,"257","208","Did (s)he have mental confusion?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10213_units","[no match found]","258","","How long did (s)he have mental confusion?","[no match found]","select_one units_2","[no match found]","units_2","[no match found]","days; months; doesn't know; refused to answer","[no match found]"
"id10213_a","[no match found]","259","","Enter how long (s)he had mental confusion in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10213_b","[no match found]","260","","Enter how long (s)he had mental confusion in months:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10213",,"261","209","For how many months did (s)he have mental confusion?",,"calculate","INTEGER",,,,
"id10214",,"262","210","Was (s)he unconscious during the illness that led to death?","was (s)he unconscious during the illness THAT LEAD TO death?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10215",,"263","211","Was (s)he unconscious for more than 24 hours before death?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10216_units","[no match found]","264","","How long before death did unconsciousness start?","[no match found]","select_one units_3","[no match found]","units_3","[no match found]","hours; days; doesn't know; refused to answer","[no match found]"
"id10216_a","[no match found]","265","","Enter how long before death unconsciousness started in hours?","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10216_b","[no match found]","266","","Enter how long before death unconsciousness started in days?","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10216",,"267","212","How many hours before death did unconsciousness start?",,"calculate","INTEGER",,,,
"id10217",,"268","213","Did the unconsciousness start suddenly, quickly (at least within a single day)?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10218",,"269","214","Did the unconsciousness continue until death?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10219",,"270","215","Did (s)he have convulsions?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10220",,"271","216","Did (s)he experience any generalized convulsions or fits during the illness that led to death?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10221",,"272","217","For how many minutes did the convulsions last?",,"integer",,,,,
"id10222",,"273","218","Did (s)he become unconscious immediately after the convulsion?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10223",,"274","219","Did (s)he have any urine problems?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10225",,"275","221","Did (s)he go to urinate more often than usual?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10226",,"276","222","During the final illness did (s)he ever pass blood in the urine?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10224",,"277","220","Did (s)he stop urinating?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10227",,"278","223","Did (s)he have sores or ulcers anywhere on the body?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10228",,"279","224","Did (s)he have sores?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10229",,"280","225","Did the sores have clear fluid or pus?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10230",,"281","226","Did (s)he have an ulcer (pit) on the foot?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10231",,"282","227","Did the ulcer on the foot ooze pus?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10232_units","[no match found]","283","","How long  did the ulcer on the foot ooze pus?","[no match found]","select_one units_2","[no match found]","units_2","[no match found]","days; months; doesn't know; refused to answer","[no match found]"
"id10232_a","[no match found]","284","","Enter how long the ulcer on the foot oozed pus in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10232_b","[no match found]","285","","Enter how long the ulcer on the foot oozed pus in months:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10232",,"286","228","For how many days did the ulcer on the foot ooze pus?",,"calculate","INTEGER",,,,
"id10233",,"287","229","During the illness that led to death, did (s)he have any skin rash?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10234",,"288","230","For how many days did (s)he have the skin rash?",,"integer",,,,,
"id10235",,"289","231","Where was the rash?",,"select_multiple select_135",,"select_135",,"face; trunk or abdomen; extremities; everywhere; doesn't know; refused to answer","face; trunk or abdomen; extremities; everywhere"
"id10235_check","[no match found]","290","","It is not possible to select 'Doesn't Know' or 'Refused to answer' together with other options. Please go back and correct the selection.","[no match found]","note","[no match found]",,"[no match found]",,"[no match found]"
"id10236",,"291","232","Did (s)he have measles rash (use local term)?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10237",,"292","233","Did (s)he ever have shingles or herpes zoster?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10238",,"293","234","During the illness that led to death, did her/his skin flake off in patches?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10239",,"294","235","During the illness that led to death, did he/she have areas of the skin that turned black?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10240",,"295","236","During the illness that led to death, did he/she have areas of the skin with redness and swelling?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10241",,"296","237","During the illness that led to death, did (s)he bleed from anywhere?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10242",,"297","238","Did (s)he bleed from the nose, mouth or anus?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10243",,"298","239","Did (s)he have noticeable weight loss?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10244",,"299","240","Was (s)he severely thin or wasted?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10245",,"300","241","During the illness that led to death, did s/he have a whitish rash inside the mouth or on the tongue?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10246",,"301","242","Did (s)he have stiffness of the whole body or was unable to open the mouth?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10247",,"302","243","Did (s)he have puffiness of the face?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10248_units","[no match found]","303","","How long did (s)he have puffiness of the face?","[no match found]","select_one units_2","[no match found]","units_2","[no match found]","days; months; doesn't know; refused to answer","[no match found]"
"id10248_a","[no match found]","304","","Enter how long (s)he had puffiness of the face in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10248_b","[no match found]","305","","Enter how long (s)he had puffiness of the face in months:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10248",,"306","244","For how many days did (s)he have puffiness of the face?",,"calculate","INTEGER",,,,
"id10249",,"307","245","During the illness that led to death, did (s)he have swollen legs or feet?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10250_units","[no match found]","308","","How long did the swelling last?","[no match found]","select_one units_2","[no match found]","units_2","[no match found]","days; months; doesn't know; refused to answer","[no match found]"
"id10250_a","[no match found]","309","","Enter how long the swelling lasted in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10250_b","[no match found]","310","","Enter how long the swelling lasted in months:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10250",,"311","246","How many days did the swelling last?",,"calculate","INTEGER",,,,
"id10251",,"312","247","Did (s)he have both feet swollen?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10252",,"313","248","Did (s)he have general puffiness all over his/her body?","did (s)he have general puffiness all over HI(S)HER body?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10253",,"314","249","Did (s)he have any lumps?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10254",,"315","250","Did (s)he have any lumps or lesions in the mouth?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10255",,"316","251","Did (s)he have any lumps on the neck?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10256",,"317","252","Did (s)he have any lumps on the armpit?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10257",,"318","253","Did (s)he have any lumps on the groin?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10258",,"319","254","Was (s)he in any way paralysed?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10259",,"320","255","Did (s)he have paralysis of only one side of the body?","did S(HE have paralysis of only one side of the body?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10260",,"321","256","Which were the limbs or body parts paralysed?",,"select_multiple select_161",,"select_161",,"right side; left side; lower part of body; upper part of body; one leg only; one arm only; whole body; other; doesn't know; refused to answer","right side; left side; lower part of body; upper part of body; one leg only; one arm only; whole body; other"
"id10260_check","[no match found]","322","","It is not possible to select 'only one side paralysed' and 'left and right side' or  'whole body' together. Please go back and correct the selection.","[no match found]","note","[no match found]",,"[no match found]",,"[no match found]"
"id10260_check2","[no match found]","323","","It is not possible to select 'Doesn't Know' or 'Refused to answer' together with other options. Please go back and correct the selection.","[no match found]","note","[no match found]",,"[no match found]",,"[no match found]"
"id10261",,"324","257","Did (s)he have difficulty swallowing?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10262_units","[no match found]","325","","For how long before death did (s)he have difficulty swallowing?","[no match found]","select_one units_2","[no match found]","units_2","[no match found]","days; months; doesn't know; refused to answer","[no match found]"
"id10262_a","[no match found]","326","","Enter how long before death (s)he had difficulty swallowing in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10262_b","[no match found]","327","","Enter how long before death (s)he had difficulty swallowing in months:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10262",,"328","258","For how many days before death did (s)he have difficulty swallowing?",,"calculate","INTEGER",,,,
"id10263",,"329","259","Was the difficulty with swallowing with solids, liquids, or both?",,"select_one select_164",,"select_164","select_ONE SELECT_164","solids; liquids; both; doesn't know; refused to answer","[empty cell]"
"id10264",,"330","260","Did (s)he have pain upon swallowing?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10265",,"331","261","Did (s)he have yellow discoloration of the eyes?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10266_units","[no match found]","332","","For how long did (s)he have the yellow discoloration?","[no match found]","select_one units_2","[no match found]","units_2","[no match found]","days; months; doesn't know; refused to answer","[no match found]"
"id10266_a","[no match found]","333","","Enter how long (s)he had the yellow discoloration in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10266_b","[no match found]","334","","Enter how long (s)he had the yellow discoloration in months:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10266",,"335","262","For how many days did (s)he have the yellow discoloration?",,"calculate","INTEGER",,,,
"id10267",,"336","263","Did her/his hair change in color to a reddish or yellowish color?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10268",,"337","264","Did (s)he look pale (thinning/lack of blood) or have pale palms, eyes or nail beds?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10269",,"338","265","Did (s)he have sunken eyes?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10270",,"339","266","Did (s)he drink a lot more water than usual?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10271",,"340","267","Was the baby able to suckle or bottle-feed within the first 24 hours after birth?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10272",,"341","268","Did the baby ever suckle in a normal way?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10273",,"342","269","Did the baby stop suckling?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10274_a","[no match found]","343","","How many days after birth did the baby stop suckling?","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10274_units","[no match found]","344","","How long after birth did the baby stop suckling?","[no match found]","select_one units_2","[no match found]","units_2","[no match found]","days; months; doesn't know; refused to answer","[no match found]"
"id10274_b","[no match found]","345","","Enter how long after birth  the baby stopped suckling in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
